,title,director,year,stars,tmdb_title,tmdb_id,tmdb_genre,tmdb_lang,tmdb_runtime,tmdb_vote_cnt,tmdb_vote_avg
114,Stagecoach (La diligencia),John Ford,1939,,Stagecoach,995,Film,en,96,1038,7.6
115,Jeremiah Johnson,Sydney Pollack,1972,,Jeremiah Johnson,11943,Film,en,108,560,7.299
116,Melancolía,Lars Von Trier,2011,4.0,Melancholia,62215,Film,en,135,3296,7.2
117,The Tree of Life,Terrence Malick,2011,5.0,The Tree of Life,8967,Film,en,139,2925,6.742
118,La piel que habito,Pedro Almodóvar,2011,,The Skin I Live In,63311,Film,es,120,3963,7.52
119,Inside Job,Charles Ferguson,2010,,Inside Job,44639,Documentary,en,109,880,7.709
120,The King´s Speech,Tom Hooper,2010,4.0,The King's Speech,45269,Film,en,118,8327,7.742
121,French cancan,Jean Renoir,1955,,French Cancan,45213,Film,fr,102,81,7.2
122,Another Year,Mike Leigh,2010,,Another Year,44009,Film,en,129,362,6.999
123,Secrets & Lies,Mike Leigh,1996,,Secrets & Lies,11159,Film,en,142,585,7.562
124,Midnight in Paris,Woody Allen,2011,,Midnight in Paris,59436,Film,en,94,6991,7.535
125,Whatever Works,Woody Allen,2009,,Whatever Works,19265,Film,en,92,1652,7.103
126,Manhattan,Woody Allen,1979,,Manhattan,696,Film,en,96,2214,7.748
127,Crimes and Misdemeanors,Woody Allen,1989,,Crimes and Misdemeanors,11562,Film,en,104,812,7.468
128,The Big Lebowski,Coen,1998,4.0,The Big Lebowski,115,Film,en,117,10661,7.84
129,"Nader y Simin, una separación",Asghar Farhadi,2011,4.0,A Separation,60243,Film,fa,123,1614,7.905
130,Hannah and Her Sisters,Woody Allen,1986,,Hannah and Her Sisters,5143,Film,en,107,966,7.494
131,Ed Wood,Tim Burton,1994,4.0,Ed Wood,522,Film,en,127,2172,7.504
132,Monty Python and the Holy Grail,Terry Jones,1975,,Monty Python and the Holy Grail,762,Film,en,91,5439,7.802
133,Four Lions,Chris Morris,2010,,Four Lions,37495,Film,en,97,1062,7.0
134,Mi tío,Jacques Tati,1958,4.0,Uncle Hyacynth,117169,Film,es,87,20,6.7
135,Sabrina,Billy Wilder,1954,,Sabrina,6620,Film,en,113,1162,7.5
136,Le Havre,Aki Kaurismäki,2011,4.0,Le Havre,73532,Film,fr,94,388,6.981
137,Les vacances de M. Hulot,Jacques Tati,1953,,Monsieur Hulot's Holiday,778,Film,fr,87,416,7.0
138,El sabor del sake,Yasujiro Ozu,1962,,An Autumn Afternoon,50759,Film,ja,114,256,7.811
139,Los siete samuráis,Akira Kurosawa,1954,,Seven Samurai,346,Film,ja,207,3391,8.458
140,Los 400 golpes,François Truffaut,1959,4.0,The 400 Blows,147,Film,fr,99,1988,8.1
141,"Hiroshima, mon amour",Alain Resnais,1959,,Hiroshima Mon Amour,5544,Film,fr,92,746,7.7
142,Plan 9 From Outer Space,Ed. Wood,1959,,Plan 9 from Outer Space,10513,Film,en,79,509,4.19
143,Ikiru,Akira Kurosawa,1952,4.0,Ikiru,3782,Film,ja,143,1019,8.3
144,El General de la Rovere,Roberto Rossellini,1959,4.0,General Della Rovere,43100,Film,it,132,118,7.47
145,The Dead,John Huston,1987,,The Dead,39507,Film,en,83,143,6.937
146,"Francisco, juglar de Dios",Roberto Rossellini,1950,,The Flowers of St. Francis,56518,Film,it,87,79,7.2
147,The Artist,Michel Hazanavicius,2011,,The Artist,74643,Film,fr,100,3108,7.457
148,Moby Dick,John Huston,1956,,Moby Dick,10339,Film,en,116,371,6.969
