date,title,director,year,stars
2012-11-25,Muerte de un burócrata,Tomás Gutiérrez Alea,1966,
2012-11-31,Still walking,Hirokazu Kore-Eda,2008,
2012-12-01,Ciudad de Dios,Fernando Meirelles,2002,
2012-12-02,La teta asustada,Claudia Llosa,2009,
2012-12-06,La buena vida,Andrés Wood,2004,
2012-12-07,Machuca,Andrés Wood,2004,
2012-12-08,El aura,Fabián Bielinsky,2005,
2012-12-09,La escalera de caracol (The Spiral Staircase),Robert Siodmak,1946,
2012-12-22,Nadie sabe,Hirokazu Kore-Eda,2004,
2012-12-23,Fat city (Ciudad dorada),John Huston,1972,5
2012-12-26,Eduardo Manostijeras (Edward Scissorhands),Tim Burton,1990,
2012-12-27,Laura,Otto Preminger,1944,
2012-12-28,Winchester 73,Anthony Mann,1950,
2012-12-29,Anatomía de un asesinato,Otto Preminger,1959,4
2012-12-30,Gritos y susurros,Ingmar Bergman,1972,4
2013-01-01,Vidas rebeldes (The Misfits),John Huston,1961,
2013-01-05,Swimming Pool,François Ozon,2003,
2013-01-06,The Passion of Anna,Ingmar Bergman,1969,
2013-01-11,Alps,Giorgo Lanthimos,2011,
2013-01-12,8 mujeres,François Ozon,2002,
2013-01-13,"Uno, dos, tres",Billy Wilder,1961,
2013-01-18,La promesa,Jean-Pierre Dardenne,1996,
2013-01-19,Take Shelter,Jeff Nichols,2011,
2013-01-20,Deconstructing Harry,Woody Allen,1997,
2013-01-25,Infancia clandestina,Benjamín Ávila,2012,
2013-01-26,Otra mujer,Woody Allen,1988,
2013-02-02,El imperio de los sentidos,Nagisa Oshima,1976,
2013-02-03,What Ever Happened to Baby Jane?,Robert Aldrich,1962,4
2013-02-08,The Guard,John Michael Mcdonagh,2011,
2013-02-09,Trainspotting,Danny Boyle,1996,
2013-02-15,La cueva de los sueños olvidados,Werner Herzog,2010,
2013-02-16,Andrei Rubliov,Andrei Tarkovsky,1966,
2013-02-22,A Brand New Life,Ounie Lecomte,2009,4
2013-02-23,El desencanto,Jaime Chavarri,1976,
2013-02-23,La luna en ti,Diana Fabianova,2009,
2013-02-24,Después de tantos años,Ricardo Franco,1994,
2013-03-01,Born Into Brothels,Zana Briski,2005,
2013-03-02,Shame,Steve Mcqueen,2011,
2013-03-03,Secret Sunshine,Lee Chang-Dong,2007,4
2013-03-09,Grizzly Man,Werner Herzog,2005,
2013-03-10,Mónica del Raval,Fransesc Betriu,2009,4
2013-03-15,Tralas Luces,Sandra Sánchez,2011,
2013-03-16,Encounters At The End Of The World,Werner Herzog,2007,4
2013-03-17,"Nanuk, el esquimal",Robert J. Flaherty,1922,
2013-03-22,El viaje del emperador,Luc Jacquet,2005,
2013-03-24,El gran silencio,Philip Gröning,2005,
2013-03-27,La rueda del tiempo,Werner Herzog,2003,
2013-03-29,Océanos,Jacques Perrin,2010,
2013-03-30,Microcosmos: le peuple de l´herbe,Claude Nuridsany,1996,4
2013-03-31,Esperando a Superman,Davis Guggenheim,2010,
2013-04-05,Elisa K,Jordi Cadena,2010,
2013-04-07,Cinco condiciones,Lars Von Trier,2003,
2013-04-12,The Master,Paul Thomas Anderson,2012,
2013-04-13,Ai Weiwei: Never Sorry,Alison Klayman,2012,
2013-04-19,De tu ventana a la mía,Paula Ortiz,2011,
2013-04-20,Chico y Rita,Fernando Trueba,2010,
2013-04-21,Buena Vista Social Club,Wim Wenders,1999,
2013-04-27,Martha Marcy May Marlene,Sean Durkin,2011,
2013-04-28,El cuaderno de barro,Isaki Lacuesta,2011,
2013-04-30,Los pasos dobles,Isaki Lacuesta,2011,
2013-05-01,Blancanieves,Pablo Berger,2012,
2013-05-03,Léolo,Jean-Claude Lauzon,1992,4
2013-05-04,La espalda del mundo,Javier Corcuera,2000,
2013-05-06,Un tal Eusebi,Iban del Campo,2003,4
2013-05-07,El taxista ful,Jo Sol,2006,4
2013-05-10,Drive,Nicolas Winding Refn,2011,
2013-05-11,La pesadilla de Darwin,Hubert Sauper,2004,
2013-05-12,Una verdad incómoda,Davis Guggenheim,2006,
2013-05-17,Familystrip,Luis Miñarro,2009,
2013-05-19,La casa de mi abuela,Adán Aliaga,2005,
2013-05-24,Amour,Michael Haneke,2012,5
2013-05-25,Woody Allen: A Documentary,Robert B. Weide,2012,
2013-05-26,Saló o los 120 días de Sodoma,Pier Paolo Pasolini,1975,
2013-05-31,Searching for Sugar Man,Malik Bendjelloul,2012,
2013-06-14,El bosque del luto,Naomi Kawase,2007,
2013-06-16,Honor de cavalleria,Albert Serra,2006,4
2013-06-24,En la ciudad de Sylvia,José Luis Guerin,2007,4
2013-06-28,Fake Orgasm,Jo Sol,2010,
2013-06-29,La soledad,Jaime Rosales,2007,
2013-06-30,Gazta zati bat,Jon Maia,2012,
2013-07-05,Close Up,Abbas Kiarostami,1990,
2013-07-07,"Aguirre, la cólera de Dios",Werner Herzog,1972,
2013-07-12,Play Time,Jacques Tati,1967,
2013-07-24,Finisterrae,Sergio Caballero,2010,
2013-08-03,Boudu salvado de las aguas,Jean Renoir,1932,4
2013-08-04,Banda aparte,Jean Luc Godard,1964,
2013-08-07,Cómo cocinar tu vida,Doris Dörrie,2007,
2013-08-09,Las amistades peligrosas,Stephen Frears,1988,
2013-08-11,Man on Wire,James Marsh,2008,
2013-08-12,Blow-Up,Michelangelo Antonioni,1966,
2013-08-13,The General,Buster Keaton,1926,
2013-08-16,La noche americana,François Truffaut,1973,
2013-08-17,Luna de Avellaneda,Juan José Campanella,2004,
2013-08-18,Dolls,Takeshi Kitano,2002,
2013-08-22,Al este del edén,Elia Kazan,1955,
2013-08-23,Your Sister´s Sister,Lynn Shelton,2011,
2013-08-24,Concursante,Rodrigo Cortés,2007,
2013-08-25,Shadows,John Cassavetes,1959,
2013-08-26,El sabor de la sandía,Tsai Ming-liang,2005,
2013-08-27,Johnny cogió su fusil,Dalton Trumbo,1971,
2013-08-28,Buried,Rodrigo Cortés,2010,
2013-08-29,Extraños en el paraíso,Jim Jarmusch,1984,
2013-08-30,Annie Leibovitz,Barbara Leibovitz,2006,
2013-08-31,The Turin Horse,Bela Tarr,2011,
2013-09-07,Los mundos sutiles,Eduardo Chapero Jackson,2015,
2013-09-07,Moon,Duncan Jones,2009,
2013-09-08,La maleta mexicana,Trisha Ziff,2011,4
2013-09-14,Las tortugas también vuelan,Bahman Ghobadi,2004,
2013-09-20,Habemus Papam,Nanni Moretti,2011,
2013-09-21,Jules y Jim,François Truffaut,1962,
2013-09-22,La sombra del iceberg,Hugo Domenech,2007,
2013-09-27,Cinco metros cuadrados,Max Lemcke,2011,
2013-09-28,Coffee and Cigarettes,Jim Jarmusch,2003,
2013-09-29,Esto no es una película,Jafar Panahi,2011,
2013-10-04,Las nieves del Kilimanjaro,Robert Guediguian,2011,
2013-10-05,Los intocables,Brian de Palma,1986,
2013-10-11,Proyecto Nim,James Marsh,2011,
2013-10-12,REC,Jaume Balagueró,2007,
2013-10-13,Down By Law,Jim Jarmusch,1986,
2013-10-19,La vida de Pi,Ang Lee,2012,
2013-10-25,Night on Earth,Jim Jarmusch,1991,
2013-10-26,El globo blanco,Jafar Panahi,1995,
2013-10-27,El sabor de las cerezas,Abbas Kiarostami,1997,
2013-10-31,Arrugas,Ignacio Ferreras,2011,
2013-11-01,Macbeth,Orson Welles,1948,
2013-11-02,Persona,Ingmar Bergman,1966,4
2013-11-03,Capturing the Friedmans,Andrew Jarecki,2003,4
2013-11-09,La morte rouge,Víctor Erice,2006,
2013-11-10,Monos como Becky,Joaquim Jordá,1999,
2013-11-15,La nana,Sebastián Silva,2009,
2013-11-16,El curioso caso de Benjamin Button,David Fincher,2008,
2013-11-17,"Comer, beber, amar",Ang Lee,1994,
2013-11-22,La doctrina del shock,Michael Winterbottom,2009,
2013-11-23,La ceremonia,Claude Chabrol,1995,
2013-11-30,La colmena,Mario Camus,1982,
2013-12-01,Hamlet,Laurence Olivier,1948,
2013-12-13,La casa de Bernarda Alba,Mario Camus,1987,
2013-12-14,La duda,John Patrick Shanley,2008,
2013-12-26,De óxido y hueso,Jacques Audiard,2012,
2013-12-27,El molino y la cruz,Lech Majewski,2011,
2013-12-29,Tyrannosaur,Paddy Considine,2011,
2013-12-30,"Primavera, Verano, Otoño, Invierno",Kim Ki-duk,2003,
2014-01-03,Una película hablada,Manoel de Oliveira,2003,
2014-01-04,Azul,Krzysztof Kieslowski,1993,
2014-01-05,Nosferatu,Friedrich W. Murnau,1922,
2014-01-10,El símbolo y el cuate,Francesc Relea,2013,
2014-01-11,Violeta se fue a los cielos,Andrés Wood,2011,
2014-01-12,Contraté a un asesino a sueldo,Aki Kaurismäki,1990,
2014-01-17,La chica de la fábrica de cerillas,Aki Kaurismäki,1990,
2014-01-18,No amarás,Krzysztof Kieslowski,1988,
2014-01-24,La vida útil,Federico Veiroj,2010,
2014-01-25,Blanco,Krzysztof Kieslowski,1994,
2014-01-31,La vida de Adèle,Abdellatif Kechiche,2013,5
2014-02-01,Rojo,Krzysztof Kieslowski,1994,
2014-02-07,Yi Yi,Edward Yang,2000,
2014-02-08,La escurridiza,Abdellatif Kechiche,2003,
2014-02-09,Latcho Drom,Tony Gatlif,1993,
2014-02-14,Gente en sitios,Juan Cavestany,2013,4
2014-02-15,La espigadora,Agnes Varda,2000,4
2014-02-28,Madeinusa,Claudia Llosa,2006,
2014-03-01,Los paraguas de Cherburgo,Jacques Demy,1964,
2014-03-14,La gran belleza,Paolo Sorrentino,2013,4
2014-03-15,Stories We Tell,Sarah Polley,2013,
2014-03-21,La jaula de oro,Diego Quemada-Díez,2013,4
2014-03-22,Crepúsculo en Tokio,Yasujiro Ozu,1957,
2014-03-30,Fuego en el cuerpo,Lawrence Kasdan,1981,
2014-04-05,La caza,Thomas Vinteberg,2012,4
2014-04-06,Hoy empieza todo,Bertrand Tavernier,1999,
2014-04-12,Un hombre sin pasado,Aki Kaurismäki,2002,
2014-04-13,Bertsolari,Asier Altuna,2011,
2014-04-20,Primavera tardía,Yasujiro Ozu,1949,4
2014-04-21,"He nacido, pero",Yasujiro Ozu,1932,
2014-04-25,El último Elvis,Armando Bo,2012,
2014-04-26,Otoño tardío,Yasujiro Ozu,1960,
2014-04-27,La hierba errante,Yasujiro Ozu,1959,
2014-04-30,"Almanya, bienvenido a Alemania",Yasemin Samdereli,2011,
2014-05-01,Guest,José Luis Guerin,2011,
2014-05-09,La mujer sin piano,Javier Rebollo,2009,
2014-05-16,Stockholm,Rodrigo Sorogoyen,2013,
2014-05-18,Días de pesca,Carlos Sorin,2012,
2014-05-24,Mud,Jeff Nichols,2012,
2014-05-25,La ventana,Carlos Sorin,2008,
2014-05-26,Page One. The New York Times,Andrew Rossi,2011,
2014-05-30,Opera Prima,Fernando Trueba,1980,
2014-05-31,Stella,Sylvie Verheyde,2008,
2014-06-01,El lado oscuro del corazón,Eliseo Subiela,1992,
2014-06-13,Ayurveda,Pan Nalin,2001,
2014-06-14,I am,Tom Shadyac,2010,
2014-06-20,La plaga,Neus Ballús,2012,
2014-06-24,Arraianos,Eloy Enciso,2012,
2014-06-28,Gravity,Alfonso Cuarón,2013,
2014-07-06,En la casa,François Ozon,2012,
2014-07-11,La herida,Fernando Franco,2013,
2014-07-12,Las malas hierbas,Alain Resnais,2009,
2014-07-18,El tren de la memoria,Marta Arribas,2005,
2014-07-25,Rebecca,Alfred Hitchcock,1940,
2014-07-26,Shortbus,John Cameron Mitchell,2006,
2014-07-30,Extraños en un tren,Alfred Hitchcock,1951,
2014-08-02,Alguien voló sobre el nido del cuco,Milos Forman,1975,5
2014-08-04,Solo ante el peligro,Fred Zinnemann,1952,5
2014-08-07,All About Eve,Joseph L. Mankiewicz,1950,
2014-08-12,Casablanca,Michael Curtiz,1942,
2014-08-14,Ciudadano Kane,Orson Welles,1941,
2014-08-22,El disputado voto del señor Cayo,Antonio Giménez-Rico,1986,
2014-08-23,La mitad del cielo,Manuel Gutiérrez Aragón,1986,
2014-08-29,El hombre tranquilo,John Ford,1952,5
2014-09-05,Una familia de Tokio,Yoji Yamada,2013,
2014-09-06,Innisfree,José Luis Guerin,1990,
2014-09-07,Tren de sombras,José Luis Guerin,1997,
2014-09-14,Ida,Pawel Pawlikowski,2013,
2014-09-20,Tiempo de revancha,Adolfo Aristarain,1981,
2014-09-26,Her,Spike Jonze,2013,
2014-09-28,El genio de Darwin: Las claves de la evolución,Richard Dawkins,2008,
2014-10-14,Omar,Hany Abu-Assad,2013,
2014-10-25,Cinema Paradiso,Giuseppe Tornatore,1988,
2014-10-31,El artista y la modelo,Fernando Trueba,2012,
2014-11-01,Bestias del sur salvaje,Benh Zeitlin,2012,
2014-11-07,Kramer contra Kramer,Robert Benton,1979,
2014-11-09,Amor bajo el espino blanco,Zhang Yimou,2010,
2014-11-10,Loreak,José Mari Goenaga,2014,
