,name_date,stars,text
146,"Alisiaon Jan 9, 2016",5 out of 5 stars,"I bought this as a gift and she LOVED IT! Takes it everywhere she goes!!! You definitely have another customer coming. 
Thank you so much! 
...And the case just put it over the top."
147,"Charylon Dec 16, 2015",5 out of 5 stars,I Received it within a few days of ordering. It is beautiful! Thank you!
148,"SamanthaMGon Dec 6, 2015",5 out of 5 stars,Beautiful fan.  Love the craftsmanship and the vibrant colors of the wax prints.  We have an early X-mas present exchange on one side of my family and purchased the fans as gifts for an Aunt and two cousins and they were well received.  All three ladies were delighted with their gifts.
149,"SamanthaMGon Dec 6, 2015",5 out of 5 stars,Love it beautiful fan meant as a gift and my cousin loved it.
150,"SamanthaMGon Dec 6, 2015",5 out of 5 stars,Awesome brightly colored.  A gift for a favorite Aunt.  She loves animal prints and she was delighted and uses it often.
151,"Catrionaon Oct 15, 2015",5 out of 5 stars,"I love this fan! VERY well made. Super sturdy. Love that it comes with a case to protect it while in my purse. Will definitely buy more! Thank you! Bonus, it arrived quick!"
152,"Tanyaon Oct 12, 2015",5 out of 5 stars,
153,"Elaineon Oct 11, 2015",5 out of 5 stars,Beautiful fan and extremely well made
154,"mayraon Sep 18, 2015",5 out of 5 stars,
155,"Bridgeton Sep 12, 2015",5 out of 5 stars,Solid- this will get me through the stifling subway platforms of NYC for years! The leather case is soft yet durable.
156,"SamanthaMGon Aug 19, 2015",4 out of 5 stars,Love the great quality of my fan.  The fabric is cute and fun and I like it but I don't love it like the wax print fabric.  My daughter is 7 and she likes my fans so this one will probably go to her and keep my other fans safe.
157,"SamanthaMGon Aug 19, 2015",5 out of 5 stars,Beautiful wax print is vibrant on both sides.  I use this as more of an every day fan.  I think it looks good when I am wearing jeans and a t-shirt.  Keeps me cool.
158,"SamanthaMGon Aug 19, 2015",5 out of 5 stars,Colorful and well made.  Not flimsy like other fans I have purchased.  I use my fans almost every day and they work and look beautiful  I have several and the wax prints are colorful on both sides.
159,"Laviniaon Aug 12, 2015",5 out of 5 stars,"The fan is beautiful, it looks exactly as in the pictures (of course, the pattern will be placed differently on each fan), and once you have it in your hands, you really perceive the great quality.

The customer service is absolutely fantastic!

For patterned fabrics like this one, you can also contact Karmele, the maker, and ask her to send you a picture of the actual fan she plans on sending you, so that you can see if the pattern placement is ok for you.

I would really recommend these fans for a refined and classy gift.

Lavinia"
160,"Tanyaon Aug 11, 2015",5 out of 5 stars,This fan is so well made. Thank you!
161,"mayraon Aug 4, 2015",5 out of 5 stars,Really pretty I couldn't resist I bought another one!!
162,"Cynthiaon Jul 31, 2015",5 out of 5 stars,BEWARE: These are extremely addicting (but in a good way). They are beautiful and and joy to own.
163,"Cynthiaon Jul 31, 2015",5 out of 5 stars,Well made with lovely fabrics; I can't say enough good things about these fans.  You won't be disappointed.
164,"Cynthiaon Jul 31, 2015",5 out of 5 stars,Absolutely beautiful.  I receive so many compliments on my fans that I've started giving them as gifts.
165,"Cynthiaon Jul 31, 2015",5 out of 5 stars,"Love it, Love it, Love it"
166,"crazycamiye1on Jul 30, 2015",5 out of 5 stars,Thanks u so so much ! Great seller and thank you for your words =)
167,"ACP81on Jul 29, 2015",5 out of 5 stars,I love this fan and its beautiful pink leather case!! The only downside is on the aquamarine blue that I see it rather green.
168,"Christianon Jul 16, 2015",5 out of 5 stars,"So wonderfully crafted that my first one got stolen at a Milonga ;)

Beautiful artwork, very finely crafted and the little goodies sent with the fan were a delight."
169,"fredDilleyon Jun 10, 2015",5 out of 5 stars,Thank you! The fan made a wonderful gift and was a perfect fit for the coming summer months.
170,"R Jon May 30, 2015",5 out of 5 stars,"Lovely and very well made fan, super fast shipping and arrival to Midwest USA from Spain. I love the case for the fan, it is very practical for carrying it in my purse safely. Thanks, Karmele!"
171,"R Jon May 30, 2015",5 out of 5 stars,"Very nice and well crafted, fast shipping. I love the case, it's very practical. Thank you!"
172,"Suzecaton May 24, 2015",5 out of 5 stars,A lovely and sturdy fan; precisely that for which I hoped!
173,"Trinaon May 20, 2015",5 out of 5 stars,
174,"Caraon May 2, 2015",5 out of 5 stars,
175,"Cynthiaon Apr 28, 2015",5 out of 5 stars,I'll use this fan for evenings out.  Very sophisticated and lovely.  Thank you very much
176,"Cynthiaon Apr 28, 2015",5 out of 5 stars,"So Feminine, So Lovely. Thank you so much for the beautiful fan."
177,"Cynthiaon Apr 28, 2015",5 out of 5 stars,"I purchased this fan for a male friend of mine, who tends to run on the hot side of things.  He absolutely loves it and so do I. Thank you so much for this beautiful fan."
178,"Cynthiaon Apr 28, 2015",5 out of 5 stars,Beautiful mini fan for my handbag.  It's absolutely beautiful and definitely well-made
179,"Cynthiaon Apr 28, 2015",5 out of 5 stars,"A delightful, well-made fan.  Just lovely.  Thanks"
181,"Alfredon Apr 20, 2015",5 out of 5 stars,"I am an Olele' fan junky. In certain circles in New York I have a reputation for the fns I carry around and use daily. Truly the very best quality I have come across here on Etsy. Thank you, Alfred.

P.S. More masculine prints please!"
182,"Genevieveon Mar 17, 2015",5 out of 5 stars,"I ordered six hand fans all in different Japanese fabrics. The fans are absolutely gorgeous. Karmele was also quick to inform me when there was a very slight delay. The product is very high quality, and the customer service is excellent!"
183,"arielleknighton Feb 9, 2015",5 out of 5 stars,"Beautifully crafted and fantastic quality! 
Even the leather sleeve, which is a useful extra, is made of beautiful, high quality leather. 
Very happy with this product and seller-very attentive!!
Thank you!"
184,"Stephanieon Jan 26, 2015",5 out of 5 stars,Beautiful and sturdy smaller sized fan. Shipping was fast to Australia. I will definetely buy another fan in the future.
185,"Stephanieon Jan 26, 2015",5 out of 5 stars,Beautiful fan. Fast shipping to Australia. Smells great as well. Will buy again.
186,"Carolineon Jan 23, 2015",5 out of 5 stars,"Beautiful, well made, unique fan plus love the leather case it comes it to protect it."
187,"Zónon Jan 18, 2015",5 out of 5 stars,I love it! Beautiful work. Fast delivery. Thank you!
188,"MLouon Jan 13, 2015",5 out of 5 stars,"Absolutely beautiful fan and impeccably made, as are the others I have gotten from this wonderful seller."
189,"Ellenon Jan 13, 2015",5 out of 5 stars,"Beautiful and beautifully made!

."
190,"vuralon Dec 14, 2014",5 out of 5 stars,"Super nice and good quality. Thank you, :)"
191,"Estelle B.on Aug 22, 2014",5 out of 5 stars,"Beautiful as usual, thank you very much!!"
192,"MS Meccaon Jul 29, 2014",5 out of 5 stars,Everyone wants this accessory it's so hot I have to keeps eyes on it.
193,"mochamiesteron Jul 28, 2014",5 out of 5 stars,"I love my fans, yes I have more than one. Indispensable at this time of my life..."
194,"Christinaon Jun 22, 2014",5 out of 5 stars,"I like this fan, carry it in my purse for hot places! Thank you!"
195,"loumarinsbhon Jun 10, 2014",5 out of 5 stars,Very nice fan I like it a lot
196,"Maryon May 21, 2014",5 out of 5 stars,"Great craft, wonderful service --- have purchased before, will again --- many thanks for your art!"
197,"Estelle B.on May 6, 2014",5 out of 5 stars,"Very original, i love it!!"
198,"Birungion Apr 10, 2014",5 out of 5 stars,It's a stunning fan and I love that it's one of a kind.
199,"Hola10on Apr 2, 2014",5 out of 5 stars,"Perfect seller, attentive to satisfy our desires. What more can you ask for? Recommended :-)"
200,"malolos75on Feb 26, 2014",5 out of 5 stars,The fabric is lovely. The fan was a good value. And the service was excellent. I recommend the vendor.
201,"Beatrizon Jan 11, 2014",5 out of 5 stars,Bellisimo! Perfect for spring and summer. Thank you!
202,"crazysexycurvyon Nov 2, 2013",4 out of 5 stars,Beautiful - I've received many compliments already! My only reservation is that there is only one layer of fabric. The spines of the fan are visible on the other side (which I think is unusual).
203,"Anonymous on Aug 14, 2013",5 out of 5 stars,Beautiful fan.  I love it!
