      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
      315703;  03/03/2002;    00:43:23;     42.9493;     -1.8455;         3.6;            ;         1.5;           4;N EGIARRETA.NA
      316155;  04/03/2002;    03:41:08;     42.9476;     -1.9101;         0.0;            ;         1.2;           4;NE IRAÑETA.NA
      316562;  05/03/2002;    03:13:25;     42.9727;     -1.8898;         0.0;            ;         1.5;           4;S MUGIRO.NA
      317828;  08/03/2002;    22:28:20;     42.9448;     -1.8936;         0.0;            ;         1.6;           4;NW EGIARRETA.NA
      319362;  15/03/2002;    08:20:48;     42.9694;     -1.9027;         8.8;            ;         2.5;           4;S MUGIRO.NA
      320025;  18/03/2002;    15:18:54;     42.9130;     -1.8039;         0.1;          IV;         3.3;           4;SE IRURTZUN.NA
      430564;  22/03/2002;    22:06:27;     42.9829;     -1.8736;         1.7;            ;         1.2;           4;SE MUGIRO.NA
      323105;  02/04/2002;    00:16:32;     43.0482;     -2.0123;         0.2;            ;         1.9;           4;NW ARRIBE.NA
      324124;  06/04/2002;    05:56:09;     42.9875;     -1.8663;         0.0;            ;         1.9;           4;SE MUGIRO.NA
      328658;  28/04/2002;    21:47:13;     43.1022;     -2.5910;         0.0;            ;         1.6;           4;S APATAMONASTERIO.BI
      329035;  02/05/2002;    04:40:58;     42.9570;     -1.9288;         0.0;          IV;         2.7;           4;NE IRAÑETA.NA
      439500;  02/05/2002;    20:13:26;     42.9972;     -2.1226;         0.0;            ;         1.5;           4;E SAN MARTIN.SS
      459998;  04/08/2002;    14:23:18;     43.1415;     -1.8684;         9.7;            ;         0.7;           4;S GOIZUETA.NA
      460051;  28/08/2002;    10:43:35;     43.2197;     -1.8188;         0.0;            ;         1.4;           4;E ARANO.NA
      454834;  03/09/2002;    10:08:51;     43.1827;     -1.8402;         0.0;            ;         1.3;           4;NE GOIZUETA.NA
      350413;  03/10/2002;    03:15:06;     43.3019;     -1.7587;        11.0;            ;         1.2;           4;SE IRUN.SS
      408921;  19/08/2003;    03:16:09;     43.1388;     -2.0672;        11.3;            ;         1.2;           4;NW IBARRA.SS
      410298;  23/08/2003;    18:17:45;     42.9829;     -2.1333;        18.1;            ;         1.3;           4;SE SAN MARTIN.SS
      412912;  03/09/2003;    23:39:26;     43.1195;     -1.7327;        13.6;            ;         1.5;           4;SE ZUBIETA.NA
      468763;  19/03/2004;    01:35:34;     42.9493;     -1.8454;         0.0;            ;         1.3;           4;N EGIARRETA.NA
      505749;  15/08/2004;    07:58:17;     43.2754;     -1.7591;        17.8;            ;         2.2;           4;NW LESAKA.NA
      618860;  22/09/2004;    02:23:59;     43.0385;     -1.9442;         0.0;            ;         0.9;           4;E ARRIBE.NA
      516460;  16/10/2004;    22:26:21;     43.1371;     -1.7820;        10.5;            ;         2.2;           4;NW ZUBIETA.NA
      516882;  20/10/2004;    06:30:02;     43.0997;     -1.8742;         0.0;            ;         1.7;           4;NE LEITZA.NA
      516979;  20/10/2004;    15:05:06;     43.1334;     -1.9354;         8.9;            ;         2.3;           4;E BERASTEGI.SS
      518542;  27/10/2004;    22:26:44;     43.1855;     -1.7810;        14.8;            ;         1.8;           4;W ARANTZA.NA
